species;year;month;lon;lat
Pelophylax saharicus;2021;2;6,609732;36,424305
Pelophylax saharicus;2020;2;-8,002922;31,641382
Pelophylax saharicus;2014;5;-9,52595;30,588627
Pelophylax saharicus;2019;7;6,699792;36,414976
Pelophylax saharicus;2018;4;-8,902821;29,581954
Pelophylax saharicus;2022;3;4,415081;36,599131
Pelophylax saharicus;2020;3;-6,953315;30,831516
Pelophylax saharicus;2017;9;-7,757835;33,546526
Pelophylax saharicus;2017;6;-7,027031;32,142505
Pelophylax saharicus;2016;4;-5,794877;31,372342
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1982;4;-5,2663;35,09908
Pelophylax saharicus;1982;5;-5,81278;35,78472
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;1980;4;7,914767;34,372785
Pelophylax saharicus;2021;5;-6,768236;34,095818
Pelophylax saharicus;2017;8;-7,75795;33,546579
Pelophylax saharicus;2018;6;-7,759323;33,545434
Pelophylax saharicus;2012;5;-7,867808;31,201761
Pelophylax saharicus;2014;5;-7,987274;29,813157
Pelophylax saharicus;2019;3;-5,061952;34,038722
Pelophylax saharicus;2014;6;-7,831791;31,010499
Pelophylax saharicus;2016;4;-8,003213;31,640491
Pelophylax saharicus;2013;11;-6,141647;31,39918
Pelophylax saharicus;2022;6;-8,920711;32,677261
Pelophylax saharicus;2017;7;-7,75805;33,546419
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1970;2;-5,6;31,45
Pelophylax saharicus;1982;5;-5,23912;35,09458
Pelophylax saharicus;1982;5;-5,81278;35,78472
Pelophylax saharicus;1969;10;-9,87;28,48
Pelophylax saharicus;1969;9;-13,206667;27,1395
Pelophylax saharicus;2016;9;6,842629;36,340211
Pelophylax saharicus;2022;3;-6,779214;30,901219
Pelophylax saharicus;2021;8;-2,044465;34,488723
Pelophylax saharicus;2018;4;-9,017696;29,343321
Pelophylax saharicus;2011;4;-9,663024;29,976031
Pelophylax saharicus;2017;9;-6,946118;30,822233
Pelophylax saharicus;2017;9;-7,761555;33,544479
Pelophylax saharicus;2017;9;-5,940581;31,509423
Pelophylax saharicus;2017;7;-7,762828;33,54422
